slot_key,block_key,position,template_path,conditions.productCategory.all,conditions.productCategory.skus,conditions.productCategory.category_key,conditions.category.all,conditions.category.category_key,conditions.cms_page.all,conditions.cms_page.page_key
slt-2,blck-9,1,@HomePage/views/home/home.twig,,,,,,,
slt-3,blck-10,1,@HomePage/views/home/home.twig,,,,,,,
slt-3,blck-2,2,@HomePage/views/home/home.twig,,,,,,,
slt-4,blck-3,1,@HomePage/views/home/home.twig,,,,,,,
slt-4,blck-4,2,@HomePage/views/home/home.twig,,,,,,,
slt-4,blck-5,3,@HomePage/views/home/home.twig,,,,,,,
slt-5,blck-11,1,@HomePage/views/home/home.twig,,,,,,,
slt-5,blck-1,2,@HomePage/views/home/home.twig,,,,,,,
slt-desktop-header,blck-nav-desktop,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-partners,blck-nav-footer-1,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-navigation,blck-nav-footer-2,2,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-social-links,blck-nav-footer-3,3,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-mobile-header,blck-nav-mobile,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-footer-checkout-navigation,blck-nav-footer-4,4,@CheckoutPage/templates/page-layout-checkout/page-layout-checkout.twig,,,,,,,
